topic;question;a;b;c;d;correctAnswer;explanation;difficulty;language
##################
###### EVAL ######
##################
Data Processing & Storage;Cymbal Direct drones continuously send data during deliveries. You need to process and analyze the incoming telemetry data. After processing, the data should be retained, but it will only be accessed once every month or two. Your CIO has issued a directive to incorporate managed services wherever possible. You want a cost-effective solution to process the incoming streams of data.;Ingest data with ClearBlade IoT Core, process it with Dataprep, and store it in a Coldline Cloud Storage bucket.;Ingest data with ClearBlade IoT Core, and then publish to Pub/Sub. Use BigQuery to process the data, and store it in a Standard Cloud Storage bucket.;Ingest data with ClearBlade IoT Core, and then publish to Pub/Sub. Use Dataflow to process the data, and store it in a Nearline Cloud Storage bucket.;Ingest data with ClearBlade IoT Core, and then store it in BigQuery.;c;Dataflow is a managed service for stream and batch processing, and Nearline storage is optimal for monthly access frequency.;medium;EN
Networking & VPC Design;You are creating a new project. You plan to set up a Dedicated interconnect between two of your data centers in the near future and want to ensure that your resources are only deployed to the same regions where your data centers are located. You need to make sure that you don’t have any overlapping IP addresses that could cause conflicts when you set up the interconnect. You want to use RFC 1918 class B address space. What should you do?;Create a new project, delete the default VPC network, set up an auto mode VPC network, and then use the default 10.x.x.x network range to create subnets in your desired regions.;Create a new project, delete the default VPC network, set up a custom mode VPC network, and then use IP addresses in the 172.16.x.x address range to create subnets in your desired regions.;Create a new project, leave the default network in place, and then use the default 10.x.x.x network range to create subnets in your desired regions.;Create a new project, delete the default VPC network, set up the network in custom mode, and then use IP addresses in the 192.168.x.x address range to create subnets in your desired zones. Use VPC Network Peering to connect the zones in the same region to create regional networks.;b;Custom mode networks provide control over IP ranges, avoiding conflicts and enabling proper interconnect setup.;medium;EN
Networking & Connectivity;Cymbal Direct is working with Cymbal Retail, a separate, autonomous division of Cymbal with different staff, networking teams, and data center. Cymbal Direct and Cymbal Retail are not in the same Google Cloud organization. Cymbal Retail needs access to Cymbal Direct’s web application for making bulk orders, but the application will not be available on the public internet. You want to ensure that Cymbal Retail has access to your application with low latency. You also want to avoid egress network charges if possible. What should you do?;If Cymbal Retail does not have access to a Google Cloud data center, use Carrier Peering to connect the two networks.;Verify that the subnet range Cymbal Retail is using doesn’t overlap with Cymbal Direct’s subnet range, and then enable VPC Network Peering for the project.;Verify that the subnet Cymbal Retail is using has the same IP address range with Cymbal Direct’s subnet range, and then enable VPC Network Peering for the project.;Specify Cymbal Direct’s project as the Shared VPC host project, and then configure Cymbal Retail’s project as a service project.;b;VPC Network Peering enables private connectivity between projects and organizations with low latency and no egress charges.;medium;EN
Kubernetes & Stateful Applications;You are working with a client who is using Google Kubernetes Engine (GKE) to migrate applications from a virtual machine–based environment to a microservices-based architecture. Your client has a complex legacy application that stores a significant amount of data on the file system of its VM. You do not want to re-write the application to use an external service to store the file system data. What should you do?;In Cloud Shell, create a YAML file defining your Container called build.yaml. Create a Container in GKE by running the command gcloud builds submit –config build.yaml .;In Cloud Shell, create a YAML file defining your Pod called pod.yaml. Create a Pod in GKE by running the command kubectl apply -f pod.yaml;In Cloud Shell, create a YAML file defining your StatefulSet called statefulset.yaml. Create a StatefulSet in GKE by running the command kubectl apply -f statefulset.yaml;In Cloud Shell, create a YAML file defining your Deployment called deployment.yaml. Create a Deployment in GKE by running the command kubectl apply -f deployment.yaml;c;A StatefulSet manages persistent Pods with storage defined by PersistentVolumeClaims, preserving state across restarts.;medium;EN
VM Migration;You are working in a mixed environment of VMs and Kubernetes. Some of your resources are on-premises, and some are in Google Cloud. Using containers as a part of your CI/CD pipeline has sped up releases significantly. You want to start migrating some of those VMs to containers so you can get similar benefits. You want to automate the migration process where possible. What should you do?;Manually create a GKE cluster. Use Cloud Build to import VMs and convert them to containers.;Use Migrate for Anthos to automate the creation of Compute Engine instances to import VMs and convert them to containers.;Use Migrate for Compute Engine to import VMs and convert them to containers.;Manually create a GKE cluster, and then use Migrate for Anthos to set up the cluster, import VMs, and convert them to containers.;d;Migrate for Anthos automates conversion of VMs to containers running in GKE, simplifying migration and modernization.;medium;EN
Cloud Architecture & Scaling;Cymbal Direct has created a proof of concept for a social integration service that highlights images of its products from social media. The proof of concept is a monolithic application running on a single SuSE Linux virtual machine (VM). The current version requires increasing the VM’s CPU and RAM in order to scale. You would like to refactor the VM so that you can scale out instead of scaling up. What should you do?;Make sure that the application declares any dependent requirements in a requirements.txt or equivalent statement so that they can be referenced in a startup script, and attach external persistent volumes to the VMs.;Make sure that the application declares any dependent requirements in a requirements.txt or equivalent statement so that they can be referenced in a startup script. Specify the startup script in a managed instance group template, and use an autoscaling policy.;Use containers instead of VMs, and use a GKE autoscaling deployment.;Move the existing codebase and VM provisioning scripts to git, and attach external persistent volumes to the VMs.;b;Using managed instance groups with autoscaling enables horizontal scaling while keeping configuration declarative and repeatable.;medium;EN
SRE & Monitoring;Customers need to have a good experience when accessing your web application so they will continue to use your service. You want to define key performance indicators (KPIs) to establish a service level objective (SLO). Which KPI could you use?;Eighty-five percent of requests succeed when aggregated over 1 minute;Eighty-five percent of requests are successful;Eighty-five percent of customers are satisfied users;Low latency for > 85% of requests when aggregated over 1 minute;a;This KPI is specific and measurable: it defines a success rate and an aggregation window, allowing comparison against an SLO threshold.;easy;EN
Database Selection;Cymbal Direct is evaluating database options to store the analytics data from its experimental drone deliveries. You're currently using a small cluster of MongoDB NoSQL database servers. You want to move to a managed NoSQL database service with consistent low latency that can scale throughput seamlessly and can handle the petabytes of data you expect after expanding to additional markets. What should you do?;Extract the data from MongoDB. Insert the data into Firestore using Native mode.;Extract the data from MongoDB, and insert the data into BigQuery.;Create a Bigtable instance, extract the data from MongoDB, and insert the data into Bigtable.;Extract the data from MongoDB. Insert the data into Firestore using Datastore mode.;c;Bigtable offers petabyte-scale performance with sub-10ms latency, ideal for analytical and IoT workloads.;medium;EN
Compute Engine Optimization;Cymbal Direct developers have written a new application. Based on initial usage estimates, you decide to run the application on Compute Engine instances with 15 Gb of RAM and 4 CPUs. These instances store persistent data locally. After the application runs for several months, historical data indicates that the application requires 30 Gb of RAM. Cymbal Direct management wants you to make adjustments that will minimize costs. What should you do?;Stop the instance, and then use the command gcloud compute instances set-machine-type VM_NAME --machine-type 2-custom-4-30720. Start the instance again.;Stop the instance, and then use the command gcloud compute instances set-machine-type VM_NAME --machine-type 2-custom-4-30720. Set the instance’s metadata to: preemptible: true. Start the instance again.;Stop the instance, and then use the command gcloud compute instances set-machine-type VM_NAME --machine-type e2-standard-8. Set the instance’s metadata to: preemptible: true. Start the instance again.;Stop the instance, and then use the command gcloud compute instances set-machine-type VM_NAME --machine-type e2-standard-8. Start the instance again.;a;Custom machine types allow adjusting CPU and memory precisely, reducing cost compared to fixed instance types.;easy;EN
Network Connectivity;Cymbal Direct's employees will use Google Workspace. Your current on-premises network cannot meet the requirements to connect to Google's public infrastructure. What should you do?;Connect the network to a Google point of presence, and enable Direct Peering.;Order a Dedicated Interconnect from a Google Cloud partner, and ensure that proper routes are configured.;Connect the on-premises network to Google’s public infrastructure via a partner that supports Carrier Peering.;Order a Partner Interconnect from a Google Cloud partner, and ensure that proper routes are configured.;c;Carrier Peering (via a partner ISP) provides access to Google public services like Workspace when you can’t meet Direct Peering requirements; Dedicated/Partner Interconnect are for private VPC connectivity, not needed here.;medium;EN

Security & Compliance;Cymbal Direct must meet compliance requirements. You need to ensure that employees with valid accounts cannot access their VPC network from locations outside of its secure corporate network, including from home. You also want a high degree of visibility into network traffic for auditing and forensics purposes. What should you do?;Enable Identity-Aware Proxy (IAP) to allow users to access services securely. Use Google Cloud Observability to view audit logs for the networks you need to monitor.;Enable VPC Service Controls, and use Google Cloud Observability to view audit logs for the networks you need to monitor.;Enable VPC Service Controls, define a network perimeter to restrict access to authorized networks, and enable VPC Flow Logs for the networks you need to monitor.;Ensure that all users install Cloud VPN. Enable VPC Flow Logs for the networks you need to monitor.;c;VPC Service Controls define a network perimeter to restrict access to approved IP ranges, and VPC Flow Logs give visibility for auditing and forensics.;medium;EN
API Design;Cymbal Direct wants to allow partners to make orders programmatically, without having to speak on the phone with an agent. What should you consider when designing the API?;The API backend should be loosely coupled. Clients should not be required to know too many details of the services they use. REST APIs using gRPC should be used for all external APIs.;The API backend should be loosely coupled. Clients should not be required to know too many details of the services they use. For REST APIs, HTTP(S) is the most common protocol.;The API backend should be tightly coupled. Clients should know a significant amount about the services they use. REST APIs using gRPC should be used for all external APIs.;The API backend should be tightly coupled. Clients should know a significant amount about the services they use. For REST APIs, HTTP(S) is the most common protocol used.;b;External APIs should use REST over HTTP(S) and maintain loose coupling for scalability and maintainability.;easy;EN
Infrastructure as Code;Cymbal Direct needs to use a tool to deploy its infrastructure. You want something that allows for repeatable deployment processes, uses a declarative language, and allows parallel deployment. You also want to deploy infrastructure as code on Google Cloud and other cloud providers. What should you do?;Develop in Docker containers for portability and ease of deployment.;Use Google Kubernetes Engine (GKE) to create deployments and manifests for your applications.;Automate the deployment with Cloud Deployment Manager.;Automate the deployment with Terraform scripts.;d;Terraform provides declarative, multi-cloud infrastructure as code with parallel deployment and repeatable workflows.;medium;EN
Kubernetes Scaling;You have deployed your frontend web application in Kubernetes. Based on historical use, you need three pods to handle normal demand. Occasionally your load will roughly double. A load balancer is already in place. How could you configure your environment to efficiently meet that demand?;Use the "kubectl autoscale" command to change the deployment’s maximum number of instances to six.;Edit your deployment's configuration file and change the number of replicas to six.;Use the "kubectl autoscale" command to change the pod's maximum number of instances to six.;Edit your pod's configuration file and change the number of replicas to six.;a;Horizontal Pod Autoscaler on a Deployment scales replicas automatically based on observed load, allowing up to six pods as needed.;easy;EN
Data Retention & Privacy;Cymbal Direct's user account management app allows users to delete their accounts whenever they like. Cymbal Direct also has a very generous 60-day return policy for users. The customer service team wants to make sure that they can still refund or replace items for a customer even if the customer’s account has been deleted. What can you do to ensure that the customer service team has access to relevant account information?;Restore a previous copy of the user information database from a snapshot. Have a database administrator capture needed information about the customer.;Disable the account. Export account information to Cloud Storage. Have the customer service team permanently delete the data after 30 days.;Ensure that the user clearly understands that after they delete their account, all their information will also be deleted. Remind them to download a copy of their order history and account information before deleting their account. Have the support agent copy any open or recent orders to a shared spreadsheet.;Temporarily disable the account for 30 days. Export account information to Cloud Storage, and enable lifecycle management to delete the data in 60 days.;d;Temporarily disabling and exporting user data with lifecycle-managed deletion satisfies both compliance and refund needs.;medium;EN
CI/CD Pipelines;Cymbal Direct wants to create a pipeline to automate the building of new application releases. What sequence of steps should you use?;Set up a source code repository. Check in code. Run unit tests. Build a Docker container. Deploy.;Run unit tests. Deploy. Build a Docker container. Check in code. Set up a source code repository.;Check in code. Set up a source code repository. Run unit tests. Deploy. Build a Docker container.;Set up a source code repository. Run unit tests. Check in code. Deploy. Build a Docker container.;a;A standard CI/CD workflow starts with source control, followed by testing, container build, and deployment.;easy;EN
VM Migration;Your existing application runs on Ubuntu Linux VMs in an on-premises hypervisor. You want to deploy the application to Google Cloud with minimal refactoring. What should you do?;Write Terraform scripts to deploy the application as Compute Engine instances.;Use a Dedicated or Partner Interconnect to connect the on-premises network where your application is running to your VPC: Configure an endpoint for a global external Application Load Balancer that connects to the existing VMs.;Isolate the core features that the application provides. Use App Engine to deploy each feature independently as a microservice.;Set up a Google Kubernetes Engine (GKE) cluster, and then create a deployment with an autoscaler.;a;Deploying the app as Compute Engine instances requires minimal changes and maintains compatibility with existing VM workloads.;medium;EN
Application Deployment Architecture;You are working with a client who has built a secure messaging application. The application is open source and consists of two components. The first component is a web app, written in Go, which is used to register an account and authorize the user’s IP address. The second is an encrypted chat protocol that uses TCP to talk to the backend chat servers running Debian. If the client's IP address doesn't match the registered IP address, the application is designed to terminate their session. The number of clients using the service varies greatly based on time of day, and the client wants to be able to easily scale as needed. What should you do?;Deploy the web application using the App Engine flexible environment with a global external Application Load Balancer and a network endpoint group. Use an unmanaged instance group for the backend chat servers. Use an external passthrough Network Load Balancer to load-balance traffic across the backend chat servers.;Deploy the web application using the App Engine standard environment with a global external Application Load Balancer and a network endpoint group. Use an unmanaged instance group for the backend chat servers. Use an external network load balancer to load-balance traffic across the backend chat servers.;Deploy the web application using the App Engine standard environment with a global external Application Load Balancer and a network endpoint group. Use a managed instance group for the backend chat servers. Use an external passthrough Network Load Balancer to load-balance traffic across the backend chat servers.;Deploy the web application using the App Engine standard environment with a global external Application Load Balancer and a network endpoint group. Use a managed instance group for the backend chat servers. Use a global external Network Load Balancer with SSL proxy to load-balance traffic across the backend chat servers.;c;App Engine standard scales automatically for the web app, while a managed instance group behind a passthrough NLB efficiently handles TCP chat traffic.;hard;EN
