topic;question;a;b;c;d;correctAnswer;explanation;difficulty;language
Game Theory;Which of these statements is true for a game with finite repetitions?;There is no endgame effect.;In each period of the game, the equilibrium outcome is the same.;The outcome is always the same as for a game with infinite repetitions.;The players do not play a dominant strategy.;b;In finite repeated games, the equilibrium outcome remains consistent in each period due to strategic reasoning.;;EN
Game Theory;Which statement is correct about finite games?;In finite games, it is clear from the beginning how often the game is repeated and when it ends.;In repeated games, interactions between competitors always take place in endless patterns.;Repeated games are the only way to achieve cooperative behavior.;Backward induction is used to analyze repeated games with infinite repetitions.;a;Finite games have a predefined number of repetitions, making their structure predictable.;;EN
Game Theory;What is the name of the effect where the lack of future threats in the last stage affects the outcome?;Equilibrium;First-mover;Funnel;End-game;d;In finite games, the end-game effect occurs when players no longer fear retaliation in the final stage.;;EN
Game Theory;Which method is commonly used to analyze repeated games with finite repetitions?;Backward induction;Bayesian inference;Monte Carlo simulation;Markov processes;a;Backward induction is used to determine the optimal strategy in finite repeated games.;;EN
Game Theory;Which factor primarily distinguishes finite and infinite repeated games?;The number of players;The predictability of end conditions;The presence of mixed strategies;The absence of equilibrium;b;Finite games have a known endpoint, affecting strategic behavior differently from infinite games.;;EN
Game Theory;What is a key characteristic of repeated games?;They always lead to cooperative behavior.;They only occur in infinite settings.;Players can condition their strategy based on past actions.;The payoffs remain constant regardless of decisions.;c;Repeated games allow strategies to evolve based on historical play, enabling cooperation or defection.;;EN
Game Theory;Why does the end-game effect influence player behavior in finite repeated games?;It eliminates future consequences for current actions.;It increases the importance of initial moves.;It encourages players to adopt dominant strategies.;It ensures cooperation through mutual interest.;a;Players in the final stages of a finite game have no reason to maintain cooperative behavior, as retaliation is no longer a threat.;;EN
Game Theory;Explain how backward induction is used to determine equilibrium in finite repeated games.;;;;;;A good answer should explain how backward induction works by solving the game from the last stage backward to determine the optimal strategy at each step.;;EN
Game Theory;Compare and contrast the strategic implications of finite and infinite repeated games.;;;;;;A good answer should highlight how the known endpoint in finite games affects strategies differently than infinite games, where cooperation is more sustainable.;;EN
Game Theory;Discuss the significance of the end-game effect in repeated games and how it influences strategic decisions.;;;;;;The response should explain how the absence of future retaliation in the last stage alters player strategies, often leading to defection.;;EN

Market Entry;Which factor decreases the likelihood of market entry according to the study?;Low demand variation;High strategic flexibility;High demand variation;Presence of competitors;c;The study finds that higher demand variation discourages firms from entering a market due to increased uncertainty.;;EN
Strategic Flexibility;What is the key trade-off involved in strategic flexibility?;Cost vs. Efficiency;Efficiency vs. Flexibility;Market Entry vs. Competition;Risk vs. Profitability;b;Firms must balance strategic flexibility with efficiency, as flexibility can reduce operational efficiency but enable better adaptation.;;EN
Demand Variation;How is demand variation measured in the study?;By absolute passenger volume;By coefficient of variation in demand;By seasonality trends;By competitor presence;b;The study operationalizes demand variation using the coefficient of variation in total industry demand for a given market.;;EN
Predictability;When is strategic flexibility most valuable?;When demand is stable;When demand is highly predictable;When demand is highly unpredictable;When competition is low;c;The study suggests that strategic flexibility is most valuable when demand is unpredictable and fluctuating.;;EN
Airline Industry;Which measure is used to assess an airline’s flexibility?;Number of employees;Fleet size;Number of different aircraft types operated;Total revenue;c;The study measures strategic flexibility by counting the number of different aircraft types an airline operates.;;EN
Market Conditions;Which type of firm is more likely to enter markets with high demand variation?;Highly efficient firms;Highly flexible firms;Low-cost carriers;New market entrants;b;Firms with greater strategic flexibility are more likely to enter markets with high demand variation, as they can better adapt to changes.;;EN
Economic Implications;Why do firms with low flexibility avoid markets with high demand variation?;They lack sufficient capital;They cannot adjust capacity efficiently;They prefer international expansion;They do not analyze market trends;b;Low-flexibility firms struggle to adjust capacity efficiently in response to fluctuations, making them less competitive in volatile markets.;;EN
Market Entry;Explain the relationship between demand variation and market entry. Discuss why high demand variation discourages firms from entering new markets.;;;;;;The answer should describe how high demand variation increases uncertainty and operational challenges, discouraging market entry.;;EN
Strategic Management;How does strategic flexibility impact a firm's ability to enter a new market? Provide examples from the airline industry.;;;;;;The response should highlight how flexibility allows firms to better adapt to demand variation and support their market entry decisions.;;EN
Industry Insights;Discuss the role of predictability in strategic flexibility. How does it influence market entry decisions?;;;;;;The answer should explain how predictable and unpredictable demand variations affect firms' entry strategies and the need for flexibility.;;EN


Market Entry;Which of the following is NOT a structural entry barrier?;Economies of scale;Brand loyalty;Control of essential resources;Aggressive pricing;d;Aggressive pricing is a strategic entry barrier, not a structural one. Structural barriers arise from the industry’s nature.;;EN
Porter’s Five Forces;Which force directly affects price elasticity in an industry?;Supplier bargaining power;Buyer bargaining power;Threat of substitutes;Government regulation;c;The threat of substitutes impacts price elasticity as consumers have alternative options, limiting firms' ability to raise prices.;;EN
Entry Strategies;What is a key feature of the 'Judo Economics' entry strategy?;Maximizing capacity to challenge incumbents;Pricing aggressively to dominate the market;Keeping a small market share to avoid retaliation;Focusing on premium customers only;c;Judo Economics involves setting a low price and keeping capacity limited to avoid triggering aggressive retaliation from incumbents.;;EN
