topic;question;a;b;c;d;correctAnswer;explanation;difficulty;language
Führung;Welche zwei zentralen Funktionen der Führung werden im Dokument als Lokomotions- und Kohäsionsfunktion beschrieben?;Planung und Kontrolle;Antrieb/Richtung und Zusammenhalt stärken;Belohnung und Bestrafung;Ausbildung und Entlassung;b;Die Lokomotionsfunktion dient dem Antrieb und der Richtung (Zielerreichung), während die Kohäsionsfunktion den sozialen Zusammenhalt der Gruppe stärkt.;;DE
Management Regelkreis;Welcher Schritt erfolgt im Management-Regelkreis (Kreislauf des Managements) unmittelbar vor dem "Entscheiden"?;Kontrollieren;Durchführen;Planen;Informieren;c;Der Regelkreis verläuft typischerweise von der Zielsetzung über das Planen zum Entscheiden, gefolgt von der Durchführung und Kontrolle.;;DE
Motivationstheorien;Was charakterisiert "Hygienefaktoren" in der Zwei-Faktoren-Theorie von Herzberg?;Sie führen bei Vorhandensein zu extremer Motivation;Sie verhindern Unzufriedenheit, erzeugen aber allein keine Zufriedenheit;Sie sind deckungsgleich mit der Selbstverwirklichung nach Maslow;Sie betreffen ausschließlich die intrinsische Motivation;b;Hygienefaktoren (z.B. Entgelt, Arbeitsbedingungen) verhindern Unzufriedenheit, wenn sie erfüllt sind. Echte Zufriedenheit und Motivation entstehen erst durch Motivatoren (z.B. Anerkennung).;;DE
Gruppenphasen;In welcher Phase der Gruppenentwicklung treten typischerweise Konflikte, Machtkämpfe und die Klärung von Rollen auf?;Forming (Orientierungsphase);Storming (Konfliktphase);Norming (Regelphase);Performing (Leistungsphase);b;In der Storming-Phase ("Nahkampfphase") werden Konflikte ausgetragen und Rollen innerhalb der Gruppe ausgehandelt, bevor Regeln (Norming) entstehen.;;DE
Führungsinstrumente;Was ist das Kernmerkmal des Führungsinstruments "Management by Exception" (MbE)?;Führen durch gemeinsame Zielvereinbarung;Eingreifen der Führungskraft nur bei Abweichungen vom Normalfall;Vollständige Übertragung aller Führungsaufgaben an die Mitarbeiter;Führen ausschließlich über Ergebnisse ohne Vorgaben;b;Bei Management by Exception erledigen Mitarbeiter Routineaufgaben selbstständig; die Führungskraft greift nur in Ausnahmefällen (Exceptions) ein.;;DE
Personalentwicklung;Welche der folgenden Maßnahmen zählt zum "Training on the job"?;Besuch eines externen Seminars;Berufsausbildung im dualen System;Job Rotation (Arbeitsplatzwechsel);Outplacement-Beratung;c;Training on the job findet direkt am Arbeitsplatz statt, dazu gehören Maßnahmen wie Job Rotation, Job Enrichment oder Job Enlargement.;;DE
Führungsstile;Welche Faktoren werden im dreidimensionalen Führungsstil (z.B. nach Hersey/Blanchard) berücksichtigt?;Nur Aufgaben- und Mitarbeiterorientierung;Aufgabenorientierung, Mitarbeiterorientierung und Reifegrad der Mitarbeiter;Autorität, Kooperation und Laissez-faire;Planung, Durchführung und Kontrolle;b;Dreidimensionale Modelle erweitern die Aufgaben- und Beziehungsorientierung um eine dritte Dimension, oft den Reifegrad des Mitarbeiters (Telling, Selling, Participating, Delegating).;;DE
Motivation und Führung;Erklären Sie den Unterschied zwischen intrinsischer und extrinsischer Motivation und nennen Sie für jede Form ein Beispiel aus dem unternehmerischen Kontext.;;;;;;Intrinsische Motivation kommt von innen (z.B. Freude an der Aufgabe, Interesse). Extrinsische Motivation wird von außen angeregt (z.B. Gehaltserhöhung, Provision, Lob).;;DE
Gruppen;Beschreiben Sie die fünf Phasen der Gruppenentwicklung (Forming, Storming, Norming, Performing, Adjourning) und erläutern Sie kurz die Bedeutung der "Performing"-Phase.;;;;;;Die Phasen sind: Forming (Finden), Storming (Konflikt), Norming (Regeln), Performing (Leistung), Adjourning (Auflösung). In der Performing-Phase ist die Gruppe eingespielt, Synergien werden genutzt (1+1=3) und die Produktivität ist am höchsten.;;DE
Personalentwicklung;Vergleichen Sie "Training on the job" mit "Training off the job". Nennen Sie jeweils Vor- und Nachteile sowie ein konkretes Beispiel für jede Methode.;;;;;;Training on the job (z.B. Job Rotation) ist praxisnah und kostengünstig, kann aber den Betriebsablauf stören. Training off the job (z.B. Seminare) ermöglicht konzentriertes Lernen ohne Tagesgeschäft, ist aber oft teurer und hat Transferprobleme in die Praxis.;;DE
