topic;question;a;b;c;d;correctAnswer;explanation;difficulty;language
App Engine;Which service allows you to deploy web applications with zero server management?;Compute Engine;App Engine;Kubernetes Engine;Cloud Run;b;App Engine is a platform-as-a-service offering that handles infrastructure automatically.;
App Engine;Which scaling option in App Engine scales based on request load?;Manual scaling;Basic scaling;Automatic scaling;Custom scaling;c;Automatic scaling adjusts the instance count based on request traffic.;
App Engine;Which of the following is NOT a feature of App Engine?;Built-in load balancing;Automatic SSL certificates;OS-level administrative access;Versioning support;c;You don’t have direct OS-level access in App Engine standard environment.;
App Engine;Which environment supports custom runtimes in App Engine?;Standard environment;Flexible environment;Local environment;No environment supports custom runtimes;b;Flexible environment supports Docker-based custom runtimes.;
App Engine;How can you split traffic between multiple versions of an App Engine application?;By using GCP IAM Roles;By using version routing rules;By using Cloud DNS;By using service accounts;b;You can specify traffic splits and direct percentages to each version in App Engine.;
App Engine;Which command is used to deploy an App Engine application from the gcloud CLI?;gcloud app deploy;gcloud beta run deploy;gcloud app create;gcloud compute deploy;a;`gcloud app deploy` is used to deploy App Engine apps.;
App Engine;What is one advantage of App Engine’s flexible environment over the standard environment?;Lower costs;Greater language support and custom runtimes;Faster cold starts;More GCP regions;b;App Engine flexible allows running custom Docker containers and supports more languages.;
App Engine;How do you customize the runtime in App Engine flexible?;Edit app.yaml to specify a custom Docker image;Use the standard environment’s runtime config;Use GCE images directly;App Engine doesn’t allow custom runtimes;a;You can provide a custom Docker image in your app.yaml.;
App Engine;Which App Engine feature allows you to gradually roll out new versions?;Scaling schedules;Traffic splitting;Load balancer attachments;Service accounts;b;Traffic splitting can shift a certain percentage of traffic to a new version.;
App Engine;How does App Engine handle application logs?;By storing them in a local VM file system;By automatically streaming them to Stackdriver Logging;By blocking logs unless manually configured;No logging feature is available;b;App Engine automatically integrates with Cloud Logging (formerly Stackdriver Logging).;
Cloud Functions;Which service is most suitable for running small, event-driven code snippets without managing servers?;Compute Engine;Cloud Functions;Cloud Run;App Engine;b;Cloud Functions is the event-driven, serverless compute option.;
