topic;question;a;b;c;d;correctAnswer;explanation;difficulty;language
Personalisierung;Welche ethischen Herausforderungen ergeben sich bei der Nutzung von Personalisierungsalgorithmen?;;;;;;Antwort sollte Datenschutz, algorithmische Fairness, Bias und Nutzerautonomie berücksichtigen.;;DE
Preisdifferenzierung;Erklären Sie das Konzept der Preisdifferenzierung und geben Sie ein Beispiel für jede der drei Hauptarten.;;;;;;Antwort sollte die drei Arten der Preisdifferenzierung (ersten, zweiten und dritten Grades) mit passenden Beispielen erläutern.;;DE
Personalisierung & Datenschutz;Diskutieren Sie die Auswirkungen des Privacy Paradox auf personalisierte Werbung.;;;;;;Antwort sollte das Spannungsfeld zwischen Datenschutzbedenken und dem tatsächlichen Nutzerverhalten beleuchten.;;DE
Personalisierung;Welche der folgenden Aussagen beschreibt die Personalisierung korrekt?;Die Anpassung von Inhalten basierend auf Nutzerpräferenzen;Die zufällige Auswahl von Produkten;Die Speicherung aller Kundendaten ohne deren Wissen;Das Fehlen von Nutzerinteraktionen;a;Personalisierung bedeutet, Inhalte oder Angebote individuell auf den Nutzer abzustimmen.;;DE
Kundendaten;Welche Art von Daten fällt unter First Party Data?;Daten von Drittanbietern;Daten aus unternehmensinternen Systemen;Daten von Social Media Plattformen;Daten, die anonymisiert von Suchmaschinen gesammelt wurden;b;First Party Data sind unternehmenseigene Daten, die direkt aus internen Systemen stammen.;;DE
Algorithmische Personalisierung;Welcher Algorithmustyp basiert auf den früheren Präferenzen des Nutzers?;Kollaborative Filterung;Inhaltsbasierte Filterung;Randomisierte Empfehlung;Kontextabhängige Personalisierung;b;Inhaltsbasierte Filterung analysiert frühere Vorlieben, um passende Vorschläge zu machen.;;DE
Datenschutz;Warum wird die Nutzung von Third Party Cookies zunehmend eingeschränkt?;Weil sie nicht mit der DSGVO konform sind;Weil sie keine relevante Nutzerinformation speichern;Weil sie keine Personalisierung ermöglichen;Weil sie teurer sind als First Party Cookies;a;Third Party Cookies sind aus Datenschutzgründen umstritten und werden aus Browsern entfernt.;;DE
Preisdifferenzierung;Welches der folgenden Beispiele stellt eine Preisdifferenzierung dritten Grades dar?;Ein Studentenrabatt für Softwarelizenzen;Ein Rabatt bei Kauf von zwei Produkten;Eine nachfrageabhängige Preisgestaltung bei Flugtickets;Ein Auktionsverfahren für Eintrittskarten;a;Preisdifferenzierung dritten Grades bedeutet unterschiedliche Preise für verschiedene Kundengruppen.;;DE
Personalisierung digitaler Produkte;Welches Merkmal beschreibt eine adaptive Personalisierung am besten?;Eine statische, unveränderliche Produktanzeige;Ein Algorithmus, der sich an das Verhalten des Nutzers anpasst;Eine personalisierte Nachricht, die einmal pro Monat gesendet wird;Ein System, das nur auf explizite Nutzereingaben reagiert;b;Adaptive Personalisierung nutzt Algorithmen, um sich in Echtzeit an das Nutzerverhalten anzupassen.;;DE
Freemium-Modelle;Was ist ein Risiko des Freemium-Geschäftsmodells?;Kunden zahlen immer für Premium-Dienste;Es besteht die Gefahr, dass zahlende Nutzer durch Werbeanzeigen gestört werden;Trittbrettfahrer könnten das Produkt nutzen, ohne jemals zu zahlen;Freemium-Modelle können nicht skaliert werden;c;Ein häufiges Problem des Freemium-Modells ist, dass viele Nutzer die kostenfreie Version nutzen, ohne je auf die kostenpflichtige Variante umzusteigen.;;DE
